Date,Comparison_Type
20130329,5589
20130330,6065
20130331,1114
20130401,4116
20130402,4901
20130403,6533
20130404,3702
20130405,5525
20130406,5234
20130407,2748
20130408,7051
20130409,7096
20130410,1560
20130411,4496
20130412,2320
20130413,8905
20130414,8299
20130415,4764
20130416,0
20130417,0
20130418,5330
20130419,7693
20130420,1720
20130421,7830
20130422,6916
20130423,3258
20130424,4263
20130425,8304
20130426,5363
20130427,3162
20130428,302
20130429,1996
20130430,5322
20130501,4397
20130502,7578
20130503,4396
20130504,801
20130505,1130
20130506,1881
20130507,56
20130508,6215
20130509,3260
20130510,5774
20130511,8936
20130512,1779
20130513,1392
20130514,1989
20130515,1187
20130516,4486
20130517,2233
20130518,9968
20130519,2391
20130520,0
20130521,0
20130522,1279
20130523,2521
20130524,3254
20130525,1661
20130526,377
20130527,1656
20130528,9605
20130529,4530
20130530,2712
20130531,9872
20130601,158
20130602,279
20130603,6
20130604,190
20130605,180
20130606,104
20130607,318
20130608,114
20130609,365
20130610,82
20130611,106
20130612,357
20130613,388
20130614,21
20130615,211
20130616,113
20130617,310
20130618,264
20130619,234
20130620,3
20130621,275
20130622,329
20130623,54
20130624,479
20130625,461
20130626,477
20130627,25
20130628,38
20130630,180
20130701,9302
20130702,7197
20130703,1650
20130704,5348
20130705,134
20130706,6248
20130707,2142
20130708,8048
20130709,1623
20130710,5933
20130711,3579
20130712,6858
20130713,6946
20130714,4696
20130715,4847
20130716,9986
20130717,6767
20130718,9649
20130719,5831
20130720,1010
20130721,2127
20130722,554
20130723,2550
20130724,2771
20130725,9811
20130726,9812
20130727,4488
20130728,2842
20130729,9175
20130730,8139
20130731,5089
20130801,8302
20130802,8501
20130803,9620
20130804,0
20130805,0
20130806,7868
20130807,6750
20130808,1499
20130809,3246
20130810,8638
20130811,518
20130812,978
20130813,8473
20130814,3938
20130815,9260
20130816,6745
20130817,9602
20130818,7895
20130819,5834
20130820,4055
20130821,3904
20130822,2475
20130823,8740
20130824,579
20130825,6862
20130826,6208
20130827,1152
20130828,2745
20130829,9862
20130830,93
20130831,542
20130901,8277
20130902,3618
20130903,4348
20130904,2816
20130905,7402
20130906,5341
20130907,3117
20130908,3702
20130909,7116
20130910,1527
20130911,4021
20130912,9480
20130913,1615
20130914,1539
20130915,7009
20130916,1041
20130917,2266
20130918,6492
20130919,2181
20130920,6507
20130921,3792
20130922,6148
20130923,3287
20130924,4495
20130925,7283
20130926,4025
20130927,2319
20130928,8427
20130929,8873
20130930,1438
20131001,5932
20131002,9147
20131003,7566
20131004,4529
20131005,8166
20131006,9488
20131007,4479
20131008,1177
20131009,4116
20131010,2635
20131011,1691
20131012,8333
20131013,8304
20131014,6059
20131015,7365
20131016,0
20131017,7181
20131018,4028
20131019,7208
20131020,4409
20131021,2776
20131022,8026
20131023,9825
20131024,9662
20131025,787
20131026,1432
20131027,1960
20131028,8997
20131029,4726
20131030,1375
20131031,4089
20131101,3756
20131102,2085
20131103,9706
20131104,0
20131105,4554
20131106,3841
20131107,659
20131108,8804
20131109,485
20131110,6925
20131111,9653
20131112,3124
20131113,4361
20131114,8305
20131115,5010
20131116,6209
20131117,9661
20131118,6782
20131119,6954
20131120,4185
20131121,2190
20131122,146
20131123,4701
20131124,2043
20131125,5791
20131126,3175
20131127,9413
20131128,6264
20131129,7899
20131130,8266
20131201,2678
20131202,6276
20131203,1470
20131204,642
20131205,4548
20131206,3275
20131207,3487
20131208,9329
20131209,2803
20131210,8619
20131211,5723
20131212,9836
20131213,1361
20131214,5571
20131215,26
20131216,8902
20131217,232
20131218,1042
20131219,6734
20131220,1891
20131221,7393
20131222,4075
20131223,8717
20131224,2381
20131225,1315
20131226,5026
20131227,7075
20131228,9893
20131229,7608
20131230,0
20131231,0
20140101,0
20140102,112
20140103,223
20140104,332
20140105,0
20140106,112
20140107,223
20140108,332
20140109,1212
20140110,1234
20140111,0
20140112,213
20140113,2231
20140114,1256
20140115,2231
20140116,4273
20140117,1594
20140118,7216
20140119,9700
20140120,6549
20140121,2899
20140122,3778
20140123,7062
20140124,1546
20140125,8712
20140126,9930
20140127,5060
20140128,7018
20140129,986
20140130,2015
20140131,5624
20140201,4634
20140202,794
20140203,7078
20140204,5362
20140205,532
20140206,9355
20140207,8053
20140208,3119
20140210,4434
20140211,2500
20140212,2108
20140213,8211
20140214,9079
20140215,803
20140216,335
20140217,5926
20140218,8908
20140219,4536
20140220,540
20140221,5608
20140222,1862
20140223,2015
20140224,1855
20140225,289
20140226,8165
20140227,5486
20140228,8906
20140301,5805
20140302,8116
20140303,7215
20140304,3094
20140305,9695
20140306,4637
20140307,2826
20140308,3007
20140309,8336
20140310,4667
20140311,6216
20140312,4685
20140313,5939
20140314,5268
20140315,0
20140316,3220
20140317,3363
20140318,8500
20140319,5828
20140320,5748
20140321,3218
20140322,4933
20140323,7449
20140324,4200
20140325,3508
20140326,3239
20140327,3449
20140328,33
20140329,4164
20140330,8390
20140331,1297
20140401,4999
20140402,4396
20140403,5215
20140404,8809
20140405,3998
20140406,395
20140407,3444
20140408,6151
20140409,4788
20140410,108
20140411,9671
20140412,6318
20140413,5545
20140414,2314
20140415,7873
20140416,3423
20140417,9856
20140418,7647
20140419,7204
20140420,4078
20140421,1421
20140422,868
20140423,9022
20140424,6584
20140425,2103
20140426,0
20140427,2791
20140428,1759
20140429,1908
20140430,4654
20140501,4201
20140502,793
20140503,1032
20140504,4667
20140505,6570
20140506,7818
20140507,6733
20140508,6805
20140509,8706
20140510,9330
20140511,8224
20140512,6249
20140513,9783
20140514,7830
20140515,9965
20140516,64
20140517,7258
20140519,2646
20140520,2411
20140521,4013
20140522,3946
20140523,892
20140524,7744
20140525,6054
20140526,6805
20140527,5513
20140528,9612
20140529,7506
20140530,8241
20140531,7124
20140601,33
20140602,479
20140603,418
20140604,260
20140605,394
20140606,477
20140607,171
20140608,19
20140609,393
20140610,219
20140611,295
20140612,91
20140613,61
20140614,326
20140616,486
20140617,113
20140618,165
20140619,254
20140620,182
20140621,291
20140622,411
20140623,243
20140624,481
20140625,309
20140626,103
20140627,262
20140628,189
20140629,355
20140630,415
20140701,9325
20140702,3666
20140703,651
20140704,1563
20140705,2187
20140706,3683
20140707,6424
20140708,7240
20140709,6731
20140710,1386
20140711,8163
20140712,9274
20140713,7074
20140714,7939
20140715,1985
20140716,7583
20140717,9781
20140718,2409
20140719,3362
20140720,502
20140721,1599
20140722,6606
20140723,2411
20140724,8880
20140725,9229
20140726,708
20140727,5921
20140728,5833
20140729,9200
20140730,4503
20140731,8619
20140801,3743
20140802,8497
20140803,6
20140804,2812
20140805,4476
20140806,4855
20140807,8945
20140808,2486
20140809,1572
20140810,3979
20140811,7994
20140812,2809
20140813,3027
20140814,5189
20140815,4616
20140816,3918
20140817,2418
20140818,7013
20140819,2426
20140820,9800
20140821,5335
20140822,5273
20140823,8809
20140824,1625
20140825,6839
20140826,7391
20140827,3689
20140828,5204
20140829,7010
20140830,1420
20140831,4806
20140901,8519
20140902,7131
20140903,8586
20140904,1845
20140905,842
20140906,3146
20140907,4666
20140908,6473
20140909,3915
20140910,1242
20140911,7147
20140912,4761
20140913,2273
20140914,3542
20140915,0
20140916,0
20140917,3589
20140918,9264
20140919,5512
20140920,2639
20140921,5408
20140922,6915
20140923,1839
20140924,3041
20140925,9095
20140926,8190
20140927,215
20140928,7247
20140929,7740
20140930,8354
20141001,2649
20141002,3929
20141003,8826
20141004,3344
20141005,2329
20141006,7912
20141007,6196
20141008,9291
20141009,3440
20141010,1211
20141011,7795
20141012,4541
20141013,7056
20141014,3129
20141015,8301
20141016,0
20141017,0
20141018,9621
20141019,9890
20141020,6286
20141021,9155
20141022,2311
20141023,8503
20141024,8377
20141025,3026
20141026,5063
20141027,9166
20141028,9181
20141029,9039
20141030,5020
20141031,6650
20141101,89
20141102,359
20141103,467
20141104,429
20141105,356
20141106,1558
20141107,9137
20141108,8013
20141109,9539
20141110,2059
20141111,2120
20141112,2363
20141113,6137
20141114,4006
20141115,4465
20141116,517
20141117,9160
20141118,3226
20141119,2446
20141120,2992
20141121,4028
20141123,2057
20141124,557
20141125,8906
20141126,809
20141127,3631
20141128,761
20141129,5507
20141130,7275
20141201,8126
20141202,390
20141203,6164
20141204,3684
20141205,7547
20141206,8106
20141207,8303
20141208,1860
20141209,7312
20141210,7865
20141211,9777
20141212,2945
20141213,2561
20141214,9366
20141215,1961
20141216,8161
20141217,5366
20141218,3823
20141219,5136
20141220,1727
20141221,3182
20141222,10
20141223,4336
20141224,5340
20141225,3014
20141226,5239
20141227,5200
20141228,6267
20141229,1055
20141230,3532
20141231,4592
